,Question,choice 1,choice 2,choice 3,choice 4
332,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
333,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
334,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
335,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
336,What is a great place to lay in the sun?,in the basement,west,solar system,beach
337,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
338,The president is the leader of what institution?,walmart,white house,country,corporation
339,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
340,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
341,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
342,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
343,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
344,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
345,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
346,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
347,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
348,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
349,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
350,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
351,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
352,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
353,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
354,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
355,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
356,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
357,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
358,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
359,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
360,What do drugs do?,damage,cloud mind,lower i.q,cause illness
361,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
362,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
363,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
364,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
365,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
366,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
367,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
368,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
369,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
370,Who was the head of the branch yelling at?,owner,foot,subordinate,base
371,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
372,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
373,Where could you see an advertisement while reading news?,television,bus,email,web page
374,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
